,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
5249,Bar restauran Reventos,,"Spanish, Diner",2.5,,"Carrer Rec Comtal, 2","Hotel Catalonia Born, Carrer del Rec Comtal, 16-18, 08003 Barcelona, Spain",41.3896556,2.1798933
5250,Bar Sol Restaurante,,"Breakfast, Lunch, Dinner",2.0,,"Carrer de Napols, 8","carrer de Nàpols, 8, 08914 Badalona, Spain",41.440621,2.2266194
5251,Caferabia,,,2.0,,"Placa Portal de la pau, 4","Portal de la Pau, Passeig de Colom, CP 08003 Barcelona, Spain",41.376698,2.178483
5252,Tapasbar Bruc,,Spanish,2.0,,Carrer de Bruc,"Carrer de Bruc, 088800 Cubelles, Spain",41.2021239,1.6805162
5253,Mario Restaurante,,Spanish,2.5,,"Carrer Del Cardenal Reig, 22","Catalonia, Spain",41.66667,2.0
5254,La Cantonada de Bacardi,,Dinner,1.5,,"C/ Carreras I Candi, 51","Carrer de Carreras i Candi, 082028 Barcelona, Spain",41.3727002,2.1280898
5255,Duffin Dagels Splau! Cornella,,Seafood,2.5,,"Avda. Baix Llobregat, s/n - Centro Comercial SPLAU!","Catalonia, Spain",41.66667,2.0
5256,La Barra de la d'or,,€4 - €12,2.0,,C/ Calabria 16,"Carrer de Calàbria, 16, 08015 Barcelona, Spain",41.3761525,2.1600808
5257,Spaghetti a la Guitarra,,Italian,2.0,,Puerto Principe 73,"Puerto Príncipe, Carrer de Puerto Príncipe, 08027 Barcelona, Spain",41.4240333,2.1818107
5258,Bar Moccia,,€10 - €20,1.0,,"Moll de Ponent, 1","08039 Barcelona, Spain",41.364878,2.1775061
5259,Restaurante Port Nautic,,"Mediterranean, Spanish",3.0,,"Moll de la Ronda, 15","Moll de la Ronda, 08930 Sant Adrià de Besòs, Spain",41.4143488,2.2263152
5260,Frankfurt Lubeck,,Fast Food,2.5,,"C. Sant Antoni Maria Claret, 133","Carrer Sant Antoni Maria Claret, Mura, Spain",41.6995675,1.9776704
5261,Bar Lleida,,Cafe,2.5,,Passeig de Sant Joan 4,"La triunfal, Passeig de Sant Joan, 4, 08003 Barcelona, Spain",41.3918366,2.1800486
5262,Nou Can Tipa,,"Seafood, European",2.5,,Passeig Joan de Borbo 6,"Pg Joan de Borbó, Passeig de Joan de Borbó, 72 Barcelona, Spain",41.3800122,2.1871883
5263,La Palmera,,€2 - €12,1.0,,Castillejos 158,"castillejos, Carretera de Cabrils, 08340 Vilassar de Mar, Spain",41.5066293,2.3863371
5264,Viena Glories,,"European, Cafe, Fast Food",2.5,,"Avenue Diagonal, 208","Glòries Multicines, Avinguda Diagonal, 208, 08018 Barcelona, Spain",41.4053714,2.1928801
5265,Frankfurt La Llesca,,,2.5,,Carrer Riera Blanca 5,"Riera Blanca, 08540 Sant Martí de Centelles, Spain",41.7716838,2.2180366
5266,Restaurante Capricho Gallego,,Spanish,2.5,,"Plaza Isop, 8","Catalonia, Spain",41.66667,2.0
5267,Food Game,,,1.0,,Av/Sarria 37,"Av Sarrià, Carrer de la Caravel·la La Niña, 08021 Barcelona, Spain",41.3914151,2.1327646
5268,Restaurante Bar La Cepa,,"Spanish, Mediterranean",2.5,,"Almirall Cervera, 15","Pg Marítim - Almirall Cervera, Passeig Marítim de la Barceloneta, 08 Barcelona, Spain",41.3791788,2.1921529
5269,El Pato Loco,,,2.5,,"Diputacio, 222","Diputació, 08733 Puigdàlber, Spain",41.4039736,1.6994345
5270,Cancosta,,"Seafood, Mediterranean, European, Spanish",2.5,,I Diumenges,"Catalonia, Spain",41.66667,2.0
5271,Ingredients Healthy Corner,,Healthy,1.0,,Calle Numancia 88,"Carrer Numància, 08241 Manresa, Spain",41.7314289,1.8182818
5272,La Bodeguita del Poble,,Spanish,2.5,,Plaza Aragonesa,"Plaça Aragonesa, Barcelona, Spain",41.368859,2.1483047
5273,La Lia,,Fast Food,2.5,,"Ronda de Sant Pau, 65","Ronda de Sant Pau, La Lia hamburgueseria, 65, 08001 Barcelona, Spain",41.3779604,2.1637978
5274,Restaurante Cal Pinxo Paltja,,"Seafood, Spanish, Mediterranean",2.5,,"Carrer Del Baluart, 124","Catalonia, Spain",41.66667,2.0
5275,3Sentits,,"Mediterranean, Diner, Spanish, Cafe, Fast Food",2.5,,Carrer D'Arizala 53,"Carrer d'Arizala, 08028 Barcelona, Spain",41.3780977,2.123918
5276,La Florida,,"Chinese, Japanese, Spanish",1.0,,Rambla Fabra i Puig 32,"Rambla de Fabra i Puig, 08030 Barcelona, Spain",41.4301798,2.1879978
5277,Groa Lounge,,"Spanish, Contemporary",2.0,,Carrer Amigo 22,"Amigó, Carrer de Tamarit, 08011 Barcelona, Spain",41.3794054,2.1617499
5278,Jaipur Palace,,Indian,2.5,,Paseo Josep Llovera 11,"Passatge de Josep Llovera, 08006 Barcelona, Spain",41.3963236,2.1478417
5279,Legends BCN Restaurante,,€5 - €24,2.5,,Travessera de Gracia 81,"Legends, Travessera de Gràcia, 81, 08006 Barcelona, Spain",41.3972055,2.151043
5280,Pandora,,€8 - €18,2.5,,"Gran Via De Les Corts Catalanes, 555","Gran Via de les Corts Catalanes, 555, 08011 Barcelona, Spain",41.3838453,2.1604292
5281,Enrich,,Mediterranean,1.0,,Balmes 403,"Carrer de Balmes, 403, 08006 Barcelona, Spain",41.4064454,2.1385783
5282,L'illa del Forum,,"Cafe, Contemporary, Dining bars",1.0,,"Rambla de Prim, 19","Rambla de Prim, 19, 08019 Barcelona, Spain",41.4116133,2.218234
5283,Rikki Rikki,,"Chinese, Japanese, Sushi, Asian",3.0,,"C/ Roger de Lluria, 114","Roger De Lluria, Carrer de Roger de Llúria, 08010 Barcelona, Spain",41.3910629,2.1718498
5284,Oishii-2,,,1.0,,"Avda Meridiana, 386","Avinguda Meridiana, 386, 08030 Barcelona, Spain",41.4297694,2.1839513
5285,Parisien,,€25 - €55,1.0,,Aribau 191,"Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
5286,Toyama Japanese Restaurant,,€7 - €20,2.5,,C/. Marina 191,"08729 Castellet i la Gornal, Spain",41.25977,1.6430355
5287,Nou Llopart - Rector Triado,,,1.0,,"Carrer Del Rector Triado, 72","Carrer del Rector Triadó, 08014 Barcelona, Spain",41.3789062,2.1421747
5288,Jin Da le,,"Sushi, Asian, Chinese, Japanese",2.5,,"Carrer Aribau, 14","Aribau, Carrer d'Aribau, 37, 080007 Barcelona, Spain",41.3876521,2.1602093
5289,Frankfurt Station,,"Fast Food, Spanish",2.5,,Creu Coberta 31,"Creu Coberta, Plaça Espanya, 8015 Barcelona, Spain",41.3752708,2.1483021
5290,Barcelona Beach Club,,€15 - €30,2.5,,Platja de la Nova Mar Bella,"Platja de la Nova Mar Bella, Ronda Litoral, 08019 Barcelona, Spain",41.4017595,2.2154032
5291,Burger King,,Fast Food,1.0,,plaza Urquinaona 11,"Pl Urquinaona, Plaça d'Urquinaona, 08010 Barcelona, Spain",41.3888302,2.1732531
5292,Riko's,,Peruvian,2.5,,Roger De Lluria 54,"Roger De Lluria, Carrer de Roger de Llúria, 08010 Barcelona, Spain",41.3910629,2.1718498
5293,Bar Xose,,Spanish,1.0,,"Carrer de Sepulveda, 147","Xosé, Carrer de Sepúlveda, 147, 149, 08011 Barcelona, Spain",41.382299,2.1609688
5294,Foster's Hollywood,,"Lunch, Dinner",2.5,,"Avenida Josep Tarradellas, 138.","Avinguda Josep Tarradellas, 08840 Viladecans, Spain",41.3124257,2.0159275
5295,Bar Manila,,,1.0,,"Manila,39","Santander, Carrer Manila, 39, 08034 Barcelona, Spain",41.3898951,2.1246067
5296,Arabia la Jonquera,,,2.0,,"C/ La Jonquera, 26","Parking, Carretera Madrid-Barcelona-Frontera Francesa, 17709 la Jonquera, Spain",42.3968691,2.8811316
5297,Jaume's,,Mediterranean,1.5,,130 Espronceda,"08204 Sabadell, Spain",41.5278333,2.1116667
5298,Diobar,,€7 - €30,1.0,,"Avinguda Marques DE L'argentera, 27","Catalonia, Spain",41.66667,2.0
5299,Costa Sol,,"Pizza, Spanish, Diner",1.0,,Carrer de Corsega 403,"Carrer de Còrsega, 403, 08037 Barcelona, Spain",41.399991,2.1637449
5300,Al Solete,,,2.0,,110 Carrer de Ganduxer,"Carrer de Ganduxer, 08022 Barcelona, Spain",41.4046843,2.1300311
5301,Croqueteca Gotico - Taperia & Cocteleria,,"Mediterranean, Spanish, Catalan",1.0,,"Carrer d'en Serra, 20, 08002 Barcelona","Carrer d'en Serra, 20, 08002 Barcelona, Spain",41.3796431,2.1788044
5302,Cal Ministre,,Spanish,1.0,,"Carrer De Sicilia, 270","Carrer de Sicília, 270, 08013 Barcelona, Spain",41.400758,2.1747219
5303,Cafeteria Dit i Fet,,,2.0,,"C/ Conseil de Cent, 439","Catalonia, Spain",41.66667,2.0
5304,Rostisseria y Xarcuteria Menjars,,€4 - €8,5.0,,Calle Concilio de Trento 26,"Catalonia, Spain",41.66667,2.0
5305,Sidreria san Fermin,,Spanish,2.5,,Escudellers 23,"Carrer dels Escudellers, 80002 Barcelona, Spain",41.3799218,2.1766799
5306,Cafe & Tapas,,"Cafe, European, Spanish",2.5,,"Avinguda Diagonal, 569","Avinguda Diagonal, 08034 Barcelona, Spain",41.3865072,2.1201545
5307,Serrano,,,2.0,,"Calle Plom, 10-12","Carrer del Plom, 08908 Barcelona, Spain",41.3522909,2.1375068
5308,Bonissim,,Spanish,2.5,,Rambla Raval 4,"La Rambla, Carrer de les Cabres, 08001 Barcelona, Spain",41.3810823,2.173344
5309,La Fonda D'horta,,Spanish,2.5,,"Placa D'eivissa, 8","Plaça d'Eivissa, Barcelona, Spain",41.4305274,2.1609327
5310,Caffe Fiorino,,"Cafe, Fast Food",2.5,,"Pl. De Lesseps, 23","Plaça de Lesseps, Barcelona, Spain",41.4070092,2.1505914
5311,Divina Pedralbes,,"Italian, Pizza, Fast Food",3.0,,"Alfambra, 11-13","Alfambra, Carrer de Trias i Giró, 08034 Barcelona, Spain",41.3862381,2.1124486
5312,Bar Rte. Andurina,,Spanish,2.5,,"Passeig de Pujades, 5","Passeig de Pujades, 0805 Barcelona, Spain",41.3914851,2.186934
5313,Restaurant Yujian,,Chinese,2.0,,"Carrer de Sardenya, 178","Carrer de Sardenya, 178, 0805 Barcelona, Spain",41.3965743,2.182539
5314,La Maria Castana,,Cafe,3.0,,c/ Mallorca 371,"Mallorca, Carrer de Mallorca, 08009 Barcelona, Spain",41.3968924,2.1667115
5315,Shingu,,"Japanese, Chinese, Sushi, Asian",3.0,,Ronda de la Universidad 20,"Ronda, 08303 Mataró, Spain",41.5450924,2.4339307
5316,Rio Lor,,Spanish,3.0,,"Avinguda de Madrid, 103","Avinguda de Madrid, 08014 Barcelona, Spain",41.3807895,2.1323994
5317,Restaurant El Plaer,,Spanish,2.5,,"Calle Del Comte D'Urgell, 198","Carrer del Comte d'Urgell, 198, 08036 Barcelona, Spain",41.3881488,2.1511137
5318,Sushi Shop,,€15 - €37,2.5,,"Pasaje de la Concepcion, 2","Catalonia, Spain",41.66667,2.0
5319,Tapas 125,,"Spanish, European",2.5,,Las Ramblas,"Barcelona, Catalonia, Spain",41.3828939,2.1774322
5320,Cookflat,,"International, Mediterranean, Spanish",3.0,,Calle tapioles 53,"Torrent de Tapioles, 08033 Barcelona, Spain",41.4633776,2.1832076
5321,Restaurante Panxot,,,1.5,,"Rambla Brasil, 42","La Rambla, Barcelona, Spain",41.3808205,2.1735709
5322,Nemrut,,€10 - €22,2.5,,Avinyo 21,"Avinyó, Catalonia, Spain",41.8630096,1.9707409
5323,McDonald's,,Fast Food,2.5,,Carretera Collblanc 22,"Collblanc, l'Hospitalet de Llobregat, Catalonia, Spain",41.3732036,2.1173563
5324,BWok,,€8 - €12,2.5,,Plaza Urquinaona 3,"Pl Urquinaona, Plaça d'Urquinaona, 08010 Barcelona, Spain",41.3888302,2.1732531
5325,Cafe & Tapas,,"Cafe, European",2.5,,Calle Balmes 199,"Carrer Balmes, 08600 Berga, Spain",42.1044459,1.8477883
5326,Gloria Restaurant,,"Mediterranean, European, Spanish",2.5,,Via Laietana,"Via Laietana, CP 08003 Barcelona, Spain",41.385305,2.1769485
5327,El Mirador,,,2.0,,380 Sardenya,"Carrer de Sardenya, 380, 08088 Barcelona, Spain",41.4056543,2.1705607
5328,La Tasqueta Del Paral lel,,Spanish,3.0,,Av. De Paral Lel 99,"Catalonia, Spain",41.66667,2.0
5329,VinsBury,,€10 - €50,3.0,,"Calle Avenir, 47","Catalonia, Spain",41.66667,2.0
5330,Kresios BCN,,€45 - €150,2.0,,"Calle dels Lledo, 7","Parc dels Gegants, Montornès del Vallès, Catalonia, Spain",41.5403704,2.2707231
5331,Restaurante El Dique,,"Mediterranean, Spanish",2.5,,25,"Barcelona, Catalonia, Spain",41.3828939,2.1774322
5332,TROPICALISSIMA,,"Latin, Colombian, Spanish",2.5,,De Les Corts Catalanes 482,"Catalonia, Spain",41.66667,2.0
5333,Nostrum,,"Breakfast, Lunch",3.0,,"Carrer de Jordi Girona, 8","Carrer de Jordi Girona, 08034 Barcelona, Spain",41.3875495,2.113918
5334,La Casona de Clariana,,Spanish,2.5,,"Carrer Pineda, 14","Carrer Pineda, 14, 08859 Begues, Spain",41.3313455,1.9259532
5335,Canta Napoli,,Italian,2.5,,Escorial 160,"Escorial Vedruna, Plaça de Santa Eulàlia, Vic, Spain",41.9295895,2.2601788
5336,Tapas Bravas,,"Spanish, Mediterranean",2.5,,La Rambla 125,"Amorino Barcelona - Las ramblas, La Rambla, 125, 08002 Barcelona, Spain",41.384831,2.1701595
5337,Bar Upiaywasi,,Bar,2.5,,"Allada Vermell, 11","Catalonia, Spain",41.66667,2.0
5338,Bombay City,,"Italian, Indian, Fast Food",2.5,,"Carrer del Comte Borrell, 160","Carrer del Comte Borrell, 160, 08015 Barcelona, Spain",41.3835207,2.1548621
5339,Diagonal Fu,,"Breakfast, Lunch, Dinner",1.5,,"Carrer de Pallars, 375","Carrer de Pallars, 08019 Barcelona, Spain",41.4084487,2.2074661
5340,Marzan Asador Basco,,Spanish,2.5,,"C/ Valencia, 207","Valencia, Carrer de València, 08291 Ripollet, Spain",41.4943576,2.1695649
5341,Mc Donalds Barcelona,,International,2.5,,Carretera de Collblanc 22,"McDonald's, Carretera de Collblanc, 22, 08903 l'Hospitalet de Llobregat, Spain",41.375854,2.1203373
5342,Sushi Shop,,€12 - €30,2.5,,Avenida Diagonal 602,"Avinguda Diagonal, 602, 08021 Barcelona, Spain",41.3928461,2.1433566
5343,La Malquerida,,"Mediterranean, Spanish, Fusion, Wine Bar",4.0,,"Carrer de Sant Elies, 11","Carrer de Sant Elies, 08006 Barcelona, Spain",41.4012825,2.1447209
5344,Bar El Kwai,,€2 - €40,4.0,,Calle Vallespir 18,"Carrer Vallespir, 08187 Santa Eulàlia de Ronçana, Spain",41.6396831,2.2003531
5345,VIPS,,€8 - €15,2.5,,"Carrer De Potosi, 2","Carrer de Potosí, 2, 08030 Barcelona, Spain",41.4427541,2.2002297
5347,Restaurante L'Alianca del Poble Nou,,€10 - €25,2.5,,"Rambla de Poblenou, 42","Rambla del Poblenou, 08018 Barcelona, Spain",41.403432,2.1980044
5348,Como en Casa,,,1.0,,"Carrer de Blai, 42","Carrer de Blai, 08001 Barcelona, Spain",41.3729517,2.1664379
5349,Julian,,,1.0,,Blasco de garay 33,"Carrer de Blasco de Garay, 08015 Barcelona, Spain",41.3744643,2.1631961
5350,Lesense,,€8 - €17,3.0,,Avenida Diagonal 208,"Glòries Multicines, Avinguda Diagonal, 208, 08018 Barcelona, Spain",41.4053714,2.1928801
5351,Bar Santin,,€3 - €13,3.5,,"Calle Ventura Plaja, 7","Carrer de Ventura Plaja, 08094 l'Hospitalet de Llobregat, Spain",41.3747508,2.1264168
5352,La Sastreria Cafe,,Cafe,5.0,,"Carrer de Joan Maragall, 9","Carrer de Joan Maragall, 08490 Tordera, Spain",41.6977019,2.7216393
5353,GastroBar Miramar,,"Bar, Pub",2.5,,Ctra Vallvidrera al Tibidabo 83-89,"Catalonia, Spain",41.41667,2.11667
5354,Kenko 2,,€8 - €30,2.5,,c/ Dos de Mayo 250,"Catalonia, Spain",41.66667,2.0
5355,Bar Maristany,,€15 - €25,2.5,,Passeig Joan de Borbo 12,"Pg Joan de Borbó, Passeig de Joan de Borbó, 72 Barcelona, Spain",41.3800122,2.1871883
5356,Corcega,,Dinner,3.5,,Corcega 368,"Corsican Mouflon, Plaça de Joan Fiveller, Barcelona, Spain",41.3859039,2.1890049
5357,Restaurante La Zona,,"Spanish, Mediterranean",2.0,,"C/60, Num 19, Sector a","GR 173 - Torrent Núm 101, 08214 Barberà del Vallès, Spain",41.5191655,2.1135044
5358,Dino,,,2.0,,"Gran Via de les Corts Catalanes, 373-385, Local 526 A-B","Gran Via de les Corts Catalanes, 08018 Barcelona, Spain",41.4100006,2.1958169
5359,Tipica Tapa,,€2 - €35,3.0,,"Industria, 202","Carrer de la Indústria, 202, 08037 Barcelona, Spain",41.4107206,2.1759909
5360,El Nostre Cafe,,"Breakfast, Lunch, Dinner",2.0,,Avinguda de Vallcarca 125,"Avinguda de Vallcarca, 08023 Barcelona, Spain",41.4157334,2.1421855
5361,Wok You,,"Chinese, Japanese, Asian",2.5,,C/ Potosi,"Potosí, 08922 Santa Coloma de Gramenet, Spain",41.4431877,2.2068058
5362,Konkai sushi,,€12 - €40,4.0,,"Calle Roger de Flor, 222","Carrer Roger de Flor, 08924 Santa Coloma de Gramenet, Spain",41.4632118,2.2080004
5363,Da Yin He,,€6 - €11,2.5,,Fontanella 15 entre placa Catalunya y,"Catalonia, Spain",41.66667,2.0
5364,Rostisseria el Caliu,,"Mediterranean, European, Spanish, Grill",3.0,,Calle Ausias March 6,"Carrer Ausias March, 08470 Sant Celoni, Spain",41.6821942,2.4861395
5365,La Guingueta,,Reservations,2.0,,Playa De San Sebastian,"Platja de Sant Sebastià, Plaça del Mar, Barcelona, Spain",41.3713457,2.1892624
5367,Como En Casa,,,1.5,,Travessera de Les Corts 373,"Travessera de les Corts, 08021 Barcelona, Spain",41.3891656,2.1391362
5368,Taverna 1900,,€10 - €30,2.5,,la Rambla No 52,"La Rambla, 80002 Barcelona, Spain",41.3811995,2.1733931
5369,Tapes Gaudi,,"Mediterranean, European, Spanish",2.5,,Av. Gaudi n0 44-46,"Avinguda d'en Gaudí, Mediona, Spain",41.4770176,1.6091548
5370,Tasca I Vins,,€9 - €19,2.5,,Calle Cardenal Tedeschini 32,"Carrer del Cardenal Tedeschini, 08027 Barcelona, Spain",41.4255003,2.1823477
5371,Hotdoks,,Fast Food,2.0,,Carrer de Sants 126,"Carrer de Sants, 08014 Barcelona, Spain",41.3754056,2.1352477
5372,SAPOR D'ITALIA BORDETA,,€3 - €15,2.0,,Carretera de la Bordeta 57,"Carretera de la Bordeta, 08014 Barcelona, Spain",41.3727768,2.1426638
5373,Iberic Fusion Parc Guell,,€15 - €35,2.5,,"Rambla Mercedes, 26","Rambla de Mercedes, 08024 Barcelona, Spain",41.4122924,2.154122
5374,Restaurante Ambos Mundos,,"Seafood, Mediterranean, European, Spanish, Catalan",2.5,,"Reial, 10","Royal Square, Barcelona, Spain",41.3800909,2.1750111
5375,Miku Sushi,,€9 - €59,2.5,,"Carrer de Sicilia, 129","Carrer de Sicília, 129, 08088 Barcelona, Spain",41.3968577,2.179517
5376,El Raco del Teatre Tapas,,Brunch,2.5,,Avinguda Del Parallel 38,"Avinguda del Paral·lel, Barcelona, Spain",41.3747537,2.1730633
5377,Burger Rock,,Barbecue,2.5,,Carrer Del Comte D'urgell 76,"Carrer del Comte d'Urgell, 76, 08011 Barcelona, Spain",41.3828229,2.1581027
5378,Telepizza,,"Pizza, Fast Food",2.5,,"Avenida Paral.Lel, 139","Catalonia, Spain",41.66667,2.0
5379,La Central - Arenas,,,2.0,,"Carrer de Llanca, 20","Casa Fajol, Carrer de Llançà, 20, 08015 Barcelona, Spain",41.3766729,2.1503676
5380,Restaurante Pakistan El Gallo Kiriko,,"Spanish, European",2.0,,"Avinyo, 19","Avinyó, Catalonia, Spain",41.8630096,1.9707409
5381,Rive Gauche,,,1.5,,"Calle Granada Del Penedes, 21","Catalonia, Spain",41.66667,2.0
5382,Los Tilos BCN,,Pub,2.0,,Passeig dels Til.lers 1,"Catalonia, Spain",41.66667,2.0
5383,Restaurante Papila,,€6 - €11,2.0,,"Avinguda de Vallcarca, 151","Avinguda de Vallcarca, 08023 Barcelona, Spain",41.4157334,2.1421855
5384,Kowloon Bar,,Japanese,2.0,,"Carrer De Viladomat, 43","Idò, Carrer de Viladomat, 43 bis, 08015 Barcelona, Spain",41.3770582,2.1605884
5385,Hello Star,,€10 - €200,4.5,,"Carrer de Pau Claris, 151","Carrer de Pau Claris, 151, 08007 Barcelona, Spain",41.3944192,2.1647116
5386,Nut,,"Italian, Pizza",2.5,,"Verdi, 2","Bar Canigó, Carrer de Verdi, 2, 08012 Barcelona, Spain",41.4029997,2.1579171
5387,Sternalia Productions,,"Mediterranean, Spanish",2.0,,"Passeig Taulat, 177 Baixos","Catalonia, Spain",41.66667,2.0
5388,Feeling Bar,,"Bar, Pub",5.0,,Calle Avenir N0 66,"Catalonia, Spain",41.66667,2.0
5389,Dehesa Santa Maria,,Spanish,2.5,,C/ Muntaner 256,"el Muntaner, Sobremunt, Catalonia, Spain",42.0316824,2.1622
5390,Sushiyaki II Buffet,,,1.0,,"Carrer de Villarroel, 88","Sushi Yaki II, Carrer de Villarroel, 88, 08011 Barcelona, Spain",41.3844412,2.1580123
5391,Feng Wei Cafeteria,,€2 - €10,4.5,,Carrer del Carme 9,"Carrer del Carme, 9, 08790 Gelida, Spain",41.4402242,1.8663145
5392,Brujas Bar,,"Dinner, Late Night",4.5,,C/ Mascaro 58,"el Mascaró, Camí de la Portella, la Quar, Spain",42.1053809,1.9176665
5393,Le Fabrik,,"Mediterranean, European, Spanish",2.5,,27 Rambla Del Poblenou,"Rambla del Poblenou, 27, 08005 Barcelona, Spain",41.3992226,2.2035122
5394,Sushibox,,"Sushi, Japanese, Japanese Fusion",2.0,,"Passeig de Sant Gervasi, 79","Passeig de Sant Gervasi, 08022 Barcelona, Spain",41.4099272,2.1357342
5395,Sher-E-Punjab,,€9 - €11,3.0,,"Carrer De Mexic, 17","LABulligrafía, Carrer de Mèxic, 17, 08004 Barcelona, Spain",41.3733496,2.1481657
5396,Iboo,,€32 - €41,2.5,,Diagonal 545-577,"la Diagonal, 08230 Terrassa, Spain",41.6102845,1.9964356
5397,Lounge El Respiro,,"Cafe, Spanish",5.0,,D'Arago 127,"Carrer d'Aragó, 127, 08011 Barcelona, Spain",41.3842727,2.1539461
5398,Cappuccino,,"Seating, Table Service",2.0,,66 avenue Gaudi,"Avinguda Gaudí, 08620 Sant Vicenç dels Horts, Spain",41.3802623,1.9988352
5399,Restaurante Taberna Galiza,,€9 - €41,2.5,,"Carrer de Calabria, 224","Carrer de Calàbria, 224, 08029 Barcelona, Spain",41.3854505,2.1479108
5400,El Balconet,,Spanish,2.0,,Placa del Docter Andreu,"Catalonia, Spain",41.66667,2.0
5401,Tapas Gaudi,,"Mediterranean, Spanish",2.5,,"C/ Llanca, 15","Carrer Comandant Llançà, 15, 08017 Barcelona, Spain",41.4090276,2.106986
5402,365 Cafe,,Cafe,2.0,,Numancia 48,"Carrer de Numància, 48, 08191 Rubí, Spain",41.5012001,2.0368388
5403,La Taberna de Alibaba,,€11 - €34,2.5,,Carrer Tajo 23,"Carrer Tajo, 08859 Begues, Spain",41.3425759,1.9021744
5404,La Rambla Restaurant,,"Mediterranean, Spanish",2.5,,Ramblas 66,"Hotel chic&basic Ramblas, Passatge de Gutenberg, 7, 08001 Barcelona, Spain",41.3770098,2.1748842
5405,El Chiringuito Group Barcelona Beach Playa Bogatell,,€9 - €28,2.5,,"Ronda del Litoral, S/n","Catalonia, Spain",41.66667,2.0
5406,Genis Pizza,,€5 - €15,2.5,,"Moll de Gregal, 1-2","Moll de Gregal, 08071 Barcelona, Spain",41.3881704,2.2008832
5407,Enrique Tomas,,Spanish,2.0,,C\ Moll D'espanya 5,"Moll d'Espanya, 72 Barcelona, Spain",41.3757474,2.1823397
5408,Telepizza,,"Pizza, Fast Food",2.5,,"Rambla De Poblenou, 71","Rambla del Poblenou, 08018 Barcelona, Spain",41.403432,2.1980044
5409,Can Pe Pe,,Mediterranean,2.5,,Carrer de Vila I Vila 86,"Carrer de Vila i Vilà, 08039 Barcelona, Spain",41.3726475,2.1740716
5410,GARIVANO,,"Lunch, Dinner",2.0,,Rbla.BRASIL 18,"La Rambla, Barcelona, Spain",41.3808205,2.1735709
5411,El Fraile,,Spanish,2.5,,"Pg. Potosi, 2","Catalonia, Spain",41.66667,2.0
5412,ART 13,,"Breakfast, Lunch, Dinner",1.0,,carrer de Tuset 16,"Carrer de Tuset, 08006 Barcelona, Spain",41.3956711,2.1523527
5413,Restaurante La Foixarda,,€15 - €30,2.5,,"Avenida dels Montanyans, 1-15","Avinguda dels Montanyans, 08004 Barcelona, Spain",41.3678147,2.148435
5414,Els Maians,,"Seafood, Mediterranean, European, Spanish",2.5,,Joan de Borbo 33-34,"Passeig de Joan de Borbó, 72 Barcelona, Spain",41.380025,2.1873629
5415,Farga,,Spanish,1.5,,"Gran de Gracia, 262","Carrer Gran de Gràcia, 08012 Barcelona, Spain",41.4016856,2.1533142
5416,Cerveceria Berlin,,Serves Alcohol,2.0,,"Avinguda Diagonal, 637","Avinguda Diagonal, 08034 Barcelona, Spain",41.3865072,2.1201545
5418,La Pizza Nostra,,"Pizza, Fast Food",2.0,,"Carrer d'Aribau, 13","Mediamanga, Carrer d'Aribau, 13, 080007 Barcelona, Spain",41.3861203,2.1621172
5419,Nemesis Craft Brewery,,€5 - €20,5.0,,Carrer galileu 97,"Passeig de Sant Antoni, Galileu, 08014 Barcelona, Spain",41.3755137,2.135837
5420,La Vinya del Mar,,"Seafood, Mediterranean, European, Spanish",2.0,,"Almirall Aixada, 21","Pg Joan de Borbó - Almirall Aixada, Passeig de Joan de Borbó, 72 Barcelona, Spain",41.3775692,2.1881898
5421,La Torreta de Sarria,,Cafe,2.5,,Carrer de Carrasco y Formiguera 25,"Catalonia, Spain",41.66667,2.0
5422,Dominos pizza terrassa 1,,"Pizza, Italian, Fast Food",2.5,,Terrassa,"Terrassa, Catalonia, Spain",41.5629885,2.0102442
5423,Capuccino,,Cafe,2.0,,Via Laietana 23,"Cubedo, Via Laietana, 23, CP 08003 Barcelona, Spain",41.3837108,2.1788357
5424,Tapas Apat,,"Spanish, Mediterranean, European",2.5,,Gran de Gracia 44,"Carrer Gran de Gràcia, 08012 Barcelona, Spain",41.4016856,2.1533142
5425,Fabian Maremagnum,,"Italian, Pizza",2.5,,"Moll d'Espanya, 5","Moll d'Espanya, Gothic Quarter, Barcelona, Catalonia, Spain",41.3790967,2.1834962
5426,Scenario Restaurant & Lounge,,"Table Service, Reservations, Seating",2.0,,"Moll de Mestral, 8","Moll de Mestral, 08071 Barcelona, Spain",41.3872066,2.1985088
5427,Cerueceria,,"Spanish, Mediterranean",2.0,,Las ramblas,"Barcelona, Catalonia, Spain",41.3828939,2.1774322
5428,Gaft Restaurant Group,,Table Service,2.0,,"Avinguda Drassanes, 6","Drassanes, Carrer del Portal de Santa Madrona, 80002 Barcelona, Spain",41.3765687,2.1755547
5429,Gisela,,€3 - €50,1.5,,"Carrer Figols, 27-29","Fígols, Catalonia, Spain",42.1809467,1.8366637
5430,La FLipper,,Seafood,1.0,,"Corsega, 596","Còrsega, 08192 Sant Quirze del Vallès, Spain",41.5294463,2.0700326
