,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
5992,Bar del Poliesportiu de la Marbella,,"Italian, Mexican, Cafe, Mediterranean, Spanish",,,Passeig Maritim del Bogatell 130,"Passeig Marítim del Bogatell, 08019 Barcelona, Spain",41.4015916,2.2144338
5993,Le Saint-Tropez,,,,,Carrer Provenca N0 88 Calle Calabria,"Catalonia, Spain",41.66667,2.0
5994,Pandacha,,"Chinese, Japanese, Asian, Taiwanese",,,"Carrer de Jerusalem, 30","Hostal la Palmera, Carrer de Jerusalem, 30, 08001 Barcelona, Spain",41.3819104,2.1707337
5995,Brasseria Savannah,,,,,Rambla Muntanya 14,"Rambla de la Muntanya, 08041 Barcelona, Spain",41.4216801,2.1778442
5996,La Tertulia,,"Breakfast, Lunch, Dinner",,,"C/ Barcelona, 3","Barcelona, Catalonia, Spain",41.3828939,2.1774322
5997,Sushi o  Japanese Coolture,,"Japanese, Sushi",,,Paseo de la Bonanova 111,"la Bonanova, Via Augusta, 08021 Barcelona, Spain",41.3976723,2.1361477
5998,Bam'Bu,,€3 - €7,,,Carrer de Potosi 2,"Carrer de Potosí, 2, 08030 Barcelona, Spain",41.4427541,2.2002297
5999,El Illy de Sants,,€5 - €10,,,"Carrer de la Creu Coberta, 126","Carrer de la Creu Coberta, 8015 Barcelona, Spain",41.3750783,2.1482657
6000,Fusi Bar,,€9 - €15,,,"Sant Elies, 28","Sant Elies, Catalonia, Spain",41.495558,1.6709767
6001,La Pruna,,€6 - €12,,,"Segadors, 70","Plaça dels segadors, Montgat, Spain",41.4641536,2.2727985
6002,bar tapas,,Cafe,,,Calle Escorxador 29,"La Madella, Bigues i Riells, Catalonia, Spain",41.6727828,2.2103354
6003,Tento Valencia 340,,,,,"Calle Valencia, 340","Carrer Valencia, 08770 Sant Sadurní d'Anoia, Spain",41.4281682,1.7826155
6004,La Raposa del Poble Sec,,€4 - €15,,,Tapioles 47,"La Raposa, Carrer de Tapioles, 47, 08004 Barcelona, Spain",41.3725137,2.1639527
6005,El Boulevard,,,,,Passeig de Gracia 53,"Passeig de Gràcia, 53, 8007 Barcelona, Spain",41.3922892,2.1638654
6006,Bar ADA,,"Pub, Gastropub",,,Napoles 281,"Asesorías Napoles, Carrer de Nàpols, 70, 08921 Santa Coloma de Gramenet, Spain",41.4539957,2.2174674
6007,Per L'Aura,,"Argentinean, South American",,,Huelva 38,"Bread & breakfast, Carrer de Huelva, 38, 08020 Barcelona, Spain",41.4159901,2.1945467
6008,Enrique Tomas,,€10 - €100,,,"Calle Francesc Perez i Cabrero, 6","Catalonia, Spain",41.66667,2.0
6009,Rincon Peruano Sl,,€10 - €25,,,"Travessera de Les Corts, 221","El Taller, Travessera de les Corts, 221, 08028 Barcelona, Spain",41.3841013,2.1303841
6010,CASA PEPE,,"Breakfast, Lunch, Dinner",,,Josep Rodoreda 35 Esplugues de Llobregat Barcelona,"Carrer de Josep Rodoreda, 08950 Esplugues de Llobregat, Spain",41.3743611,2.0836458
6011,Starbucks,,€2 - €10,,,"Gran Via De Les Corts Catalanes, 389-391","Gran Via de les Corts Catalanes, 389-391, 8015 Barcelona, Spain",41.3765466,2.1507175
6012,Dunkin',,"Breakfast, Lunch, Dinner",,,"Metro Palacio Real, Linea 3","Catalonia, Spain",41.66667,2.0
6013,Ya Du,,€2 - €10,,,"C/ Joquim Valls, 74","Catalonia, Spain",41.66667,2.0
6014,8 i vuit,,,,,Floridablanca 88,"Carrer de Floridablanca, 8015 Barcelona, Spain",41.3762467,2.1555235
6015,Plume,,€8 - €16,,,Travessera de Gracia 88,"Travessera de Gràcia, 88, 08006 Barcelona, Spain",41.3977931,2.1525593
6016,Salta,,Fusion,,,Provenca 280,"Provença, Intercanviador Diagonal - Provença (L3 - L5 - FGC, 080007 Barcelona, Spain",41.3932454,2.1575069
6017,Mo Frankfurt,,Chinese,,,"Gran Via de les Corts Catalanes, 480","Gran Via de les Corts Catalanes, 480, 08015 Barcelona, Spain",41.3797215,2.1562987
